osm_id,code,fclass,name,type,area
"180990433","1500",building,,,"396"
"185124196","1500",building,,grandstand,"401"
"185124197","1500",building,,grandstand,"1109"
"185124198","1500",building,,service,"132"
"185124199","1500",building,,grandstand,"708"
"185124200","1500",building,,,"591"
"185124201","1500",building,,,"659"
"185125542","1500",building,,retail,"5816"
"188320108","1500",building,,apartments,"223"
"188320109","1500",building,,,"171"
"188320111","1500",building,,apartments,"315"
"188320112","1500",building,,apartments,"1439"
"188320115","1500",building,,,"234"
"188320117","1500",building,,,"87"
"188320588","1500",building,,residential,"161"
"188320589","1500",building,,church,"156"
"188320944","1500",building,,apartments,"232"
"188321884","1500",building,,,"356"
"188374358","1500",building,,office,"1140"
"188374362","1500",building,,office,"1740"
"188374366","1500",building,,office,"1603"
"188377459","1500",building,Alstom Power,industrial,"10433"
"188377461","1500",building,,,"3961"
"188377462","1500",building,Alstom Power,industrial,"5816"
"188377464","1500",building,,industrial,"1143"
"188377469","1500",building,,,"535"
"188377471","1500",building,Alstom Ferroviaria,warehouse,"24890"
"188377473","1500",building,Alstom Power,,"7599"
"188380769","1500",building,Università degli Studi di Milano – Polo di Mediazione Interculturale,public,"5192"
"188380780","1500",building,ABB,office,"4667"
"188382218","1500",building,,,"163"
"188382220","1500",building,,commercial,"2852"
"188382224","1500",building,,,"164"
"188382225","1500",building,,office,"868"
"188387476","1500",building,,industrial,"5404"
"188387481","1500",building,,,"191"
"188388806","1500",building,,,"158"
"188388807","1500",building,,,"421"
"188388808","1500",building,,,"302"
"188388809","1500",building,,industrial,"6682"
"188388810","1500",building,,industrial,"5761"
"188388811","1500",building,,,"881"
"188388812","1500",building,,industrial,"7229"
"188388813","1500",building,,,"395"
"188388814","1500",building,,,"2281"
"188388815","1500",building,,industrial,"3868"
"188389157","1500",building,,,"1490"
"188389158","1500",building,,,"366"
"188389160","1500",building,,,"387"
"191638584","1500",building,Il Gigante,retail,"963"
"191638645","1500",building,,apartments,"316"
"191694470","1500",building,,roof,"299"
"191712311","1500",building,,,"544"
"191712312","1500",building,,,"793"
"191712313","1500",building,,,"863"
"196602310","1500",building,Galleria Campari,public,"1015"
"198051041","1500",building,,,"1249"
"198051043","1500",building,,school,"2883"
"198051044","1500",building,,,"853"
"198051045","1500",building,,,"530"
"198051046","1500",building,EuroSpin,,"460"
"198051745","1500",building,,,"169"
"198051746","1500",building,,,"172"
"198051747","1500",building,,apartments,"815"
"198051748","1500",building,,apartments,"611"
"198051749","1500",building,,apartments,"651"
"198051750","1500",building,,apartments,"236"
"198051751","1500",building,,apartments,"318"
"198051752","1500",building,,apartments,"245"
"198051753","1500",building,,,"264"
"198051754","1500",building,,apartments,"121"
"198051755","1500",building,,apartments,"304"
"198051756","1500",building,,apartments,"236"
"198051757","1500",building,,house,"266"
"198051759","1500",building,,apartments,"1957"
"198051760","1500",building,,,"539"
"198051761","1500",building,,school,"800"
"198051762","1500",building,,apartments,"945"
"198051763","1500",building,Gruppo Campari,commercial,"2555"
"198051765","1500",building,,apartments,"489"
"198051766","1500",building,Il Gigante,retail,"2143"
"210630876","1500",building,,office,"8348"
"210631404","1500",building,,office,"10982"
"210821334","1500",building,,apartments,"317"
"210821335","1500",building,,apartments,"732"
"210823614","1500",building,,,"1168"
"210823615","1500",building,,,"189"
"210823616","1500",building,,,"728"
"217548307","1500",building,,roof,"425"
"217548308","1500",building,,,"289"
"217548309","1500",building,,retail,"5782"
"218244101","1500",building,,,"191"
"218998183","1500",building,,grandstand,"61"
"230063386","1500",building,,commercial,"303"
"230063387","1500",building,,apartments,"214"
"230063388","1500",building,,apartments,"490"
"232545240","1500",building,,industrial,"8764"
"240414531","1500",building,,industrial,"2057"
"240414532","1500",building,RACI,industrial,"388"
"240414533","1500",building,,industrial,"5902"
"240414534","1500",building,,house,"191"
"240415219","1500",building,,house,"254"
"240415220","1500",building,,house,"274"
"240415221","1500",building,,house,"268"
"240415222","1500",building,,house,"298"
"240415223","1500",building,,apartments,"460"
"240415224","1500",building,,apartments,"469"
"240415225","1500",building,,apartments,"286"
"240415226","1500",building,,house,"190"
"241552152","1500",building,,apartments,"310"
"241552153","1500",building,,apartments,"591"
"241552976","1500",building,,,"1424"
"241553350","1500",building,,apartments,"181"
"241553351","1500",building,,apartments,"148"
"241553352","1500",building,,residential,"119"
"241553354","1500",building,,,"218"
"241553355","1500",building,,,"190"
"241553356","1500",building,,residential,"390"
"241553357","1500",building,,residential,"322"
"241553358","1500",building,,apartments,"1494"
"241553359","1500",building,,residential,"160"
"241553360","1500",building,,,"116"
"241553361","1500",building,,,"485"
"241613197","1500",building,,,"1641"
"242678828","1500",building,,,"384"
"242824420","1500",building,,roof,"1634"
"242824629","1500",building,,service,"687"
"242824630","1500",building,,service,"105"
"242824631","1500",building,,service,"320"
"242824632","1500",building,,service,"102"
"242824633","1500",building,,service,"112"
"243275115","1500",building,,school,"1702"
"243653178","1500",building,,,"275"
"243663117","1500",building,,,"142"
"243663119","1500",building,,,"213"
"243663120","1500",building,,,"369"
"243858101","1500",building,,roof,"154"
"243858107","1500",building,,apartments,"292"
"243858110","1500",building,,retail,"220"
"243858115","1500",building,,apartments,"337"
"244840195","1500",building,,apartments,"779"
"244840196","1500",building,,apartments,"689"
"244840197","1500",building,,apartments,"709"
"244840198","1500",building,,,"805"
"244840199","1500",building,,apartments,"1087"
"244840200","1500",building,,apartments,"273"
"244840201","1500",building,,house,"116"
"244840202","1500",building,,apartments,"277"
"244840203","1500",building,,house,"224"
"244840204","1500",building,,house,"121"
"244840205","1500",building,,house,"237"
"244840206","1500",building,,apartments,"277"
"244840207","1500",building,,house,"143"
"244840208","1500",building,,house,"119"
"244840209","1500",building,,house,"106"
"244840210","1500",building,,apartments,"277"
"244840211","1500",building,,house,"142"
"244840212","1500",building,,house,"174"
"244840213","1500",building,,house,"120"
"244840214","1500",building,,apartments,"623"
"244840215","1500",building,,apartments,"283"
